"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"FBtr0077999",43.9505095397946,2.86970202505881,0.237814667842594,12.0669681609304,1.57843069455287e-33,1.03987014157143e-29,"CG2839"
"FBtr0331941",54.6413166543852,2.36110633690803,0.196923289836173,11.9899801535527,4.01001232529427e-33,1.32089805995193e-29,"px"
"FBtr0071263",64.7161724841106,2.37978832319692,0.208449317176447,11.4166280582367,3.45375495140747e-30,7.58444587329081e-27,"CG10962"
"FBtr0086531",109.345274472019,2.23034060228405,0.198213600832673,11.2522076836031,2.25866782044953e-29,3.72002590028037e-26,"Spt5"
"FBtr0071546",122.867588596758,1.90111909633066,0.172627745014087,11.0128247123631,3.31446062059229e-28,4.3671333136924e-25,"shg"
"FBtr0071604",107.847753973082,1.93393137396737,0.182907134314271,10.5732965595781,3.96313792849685e-26,4.35152544548954e-23,"dom"
"FBtr0346871",41.5368532425642,2.6921784910746,0.257611227672963,10.4505479648283,1.45681061770059e-25,1.37106690705879e-22,"28SrRNA-Psi:CR40596"
"FBtr0078080",91.2921066226737,2.03582492369787,0.206762149904457,9.84621665347653,7.11728166587456e-23,5.8610814518477e-20,"Spp"
"FBtr0084887",75.2191090764775,2.29734306863244,0.23594033309109,9.73696628522388,2.09721851643716e-22,1.535163954032e-19,"jigr1"
"FBtr0082700",87.4217741492794,2.46135282463677,0.253785984308803,9.69853725902306,3.0585182842728e-22,2.01495184567892e-19,"CtBP"
"FBtr0077917",71.7980415836359,-2.34861928570652,0.245951208156545,-9.54912685044284,1.30793952904699e-21,7.83336874305596e-19,"CG10869"
"FBtr0078921",251.58776398504,1.61591554532171,0.172252526919679,9.38108470289791,6.52974644930141e-21,3.58483080066647e-18,"lost"
"FBtr0302548",49.1929579530999,1.94470570471312,0.208865952918138,9.31078367509382,1.2689259041472e-20,6.43052604347825e-18,"Sh3beta"
"FBtr0087720",16.8731273113112,3.24769079716364,0.350168400474201,9.27465411717787,1.78196258893591e-20,7.82637969060652e-18,"CG10814"
"FBtr0306337",54.1488847430711,1.90539050248431,0.205360198074585,9.27828527800843,1.72227855216488e-20,7.82637969060652e-18,"abd-A"
"FBtr0071228",212.043426382087,2.0555228728261,0.227608349912522,9.03096425775288,1.70165667735087e-19,7.00657136899222e-17,"Caf1-180"
"FBtr0089414",29.3017406853375,2.4527869106591,0.272166003113327,9.01209880220707,2.02150092206902e-19,7.83391063211217e-17,"alt"
"FBtr0074441",97.6520654972695,1.84619610319935,0.206122494803231,8.95679098470918,3.34264503474808e-19,1.2234080827178e-16,"Fim"
"FBtr0075968",368.09311887409,2.10216993576909,0.235840715189471,8.91351577729165,4.94393679800352e-19,1.71424503290775e-16,"eIF2beta"
"FBtr0076934",75.7550287184475,1.5480197284457,0.174008733609088,8.89621857672579,5.77817271495859e-19,1.90333009230736e-16,"Galphai"
"FBtr0303198",19.8969505094939,2.62471749556621,0.296464690533536,8.85338989558121,8.49004345433967e-19,2.66344791796142e-16,"gce"
"FBtr0073145",168.691404683173,1.30131144252253,0.147480284290093,8.82362987558969,1.10808044751615e-18,3.31819726738018e-16,"sty"
"FBtr0333335",126.140061665844,1.75111305067895,0.198790293068345,8.80884586289589,1.26440905452473e-18,3.62170732661257e-16,"Hex-A"
"FBtr0074756",86.7925039299656,2.36484837567736,0.268865715392134,8.7956486836869,1.42223926523878e-18,3.90404678308044e-16,"dome"
"FBtr0479755",26.4870548682984,2.22963552453815,0.253971273569945,8.77908549733713,1.64809212835984e-18,4.34305237665386e-16,"CASK"
"FBtr0072062",62.1980868835162,2.32811942114799,0.267639899659473,8.69870084434395,3.3570522743312e-18,8.50625399357458e-16,"Dcp-1"
"FBtr0310335",70.6447095642379,1.46449794730215,0.168917969941032,8.66987655495381,4.32589120752245e-18,1.05551745463548e-15,"CG43658"
"FBtr0074019",81.3503783155808,1.47994454276408,0.170931642645209,8.65810753270473,4.79660935703447e-18,1.1285736587194e-15,"CG9123"
"FBtr0073481",134.745062601656,1.78496462157344,0.206269422301363,8.65355902808306,4.99178066601977e-18,1.13399486302546e-15,"CG11122"
"FBtr0085319",126.114437214729,2.13992751491568,0.247932187920357,8.63110003128391,6.07647116425358e-18,1.33439306767009e-15,"CG10011"
"FBtr0075570",72.7980877998958,1.70946468730142,0.198301460334394,8.62053504002829,6.66419867913333e-18,1.4162497063913e-15,"Phs"
"FBtr0299837",28.9790589593658,2.32871062307477,0.270407725607099,8.61184945010917,7.18912160362827e-18,1.48006041014697e-15,"kis"
"FBtr0346903",35.5895970885634,2.42991646564811,0.282754771900788,8.59372398673685,8.41951299767456e-18,1.68084095844485e-15,"28SrRNA-Psi:CR45860"
"FBtr0113436",120.525459894097,2.19828038026565,0.257421561058917,8.53961249874682,1.34672690214965e-17,2.60948142098878e-15,"CG32425"
"FBtr0070263",295.002320361803,1.24709091764442,0.146277438681123,8.5255178713035,1.52127649211151e-17,2.86347700858018e-15,"br"
"FBtr0074018",84.0364247984494,1.65585265846389,0.194398422882475,8.51782969178172,1.62571031636507e-17,2.97504987894808e-15,"CG12608"
"FBtr0070212",176.479543042592,1.62103660139311,0.190975765859742,8.48817960800136,2.09898996825014e-17,3.73733673265728e-15,"CG11417"
"FBtr0079369",243.189099172091,2.11491720493477,0.251287690130391,8.41631837929409,3.88500566876216e-17,6.73537298573819e-15,"nop5"
"FBtr0079488",129.147156343363,1.74910973694123,0.211021650219109,8.28876911504146,1.14426417086955e-16,1.91612333694449e-14,"CG7154"
"FBtr0347112",39.7880895869757,2.35597422725307,0.284304610690583,8.28679570665546,1.16340214750728e-16,1.91612333694449e-14,"lncRNA:CR45994"
"FBtr0304022",29.0878954466283,2.1424682984884,0.258638749112041,8.28363230894027,1.19474102562515e-16,1.91974484800451e-14,"CG42806"
"FBtr0084230",147.234639649033,1.86699244063279,0.225529303160106,8.27826989430013,1.24977715624889e-16,1.96036473937326e-14,"Nop56"
"FBtr0087120",58.5781638892224,1.61177768782348,0.195764468448671,8.23324937664098,1.82202344943652e-16,2.79150941509018e-14,"CG8306"
"FBtr0070147",59.5707649629326,1.62443369403322,0.197916705417208,8.20766337338179,2.25534468760702e-16,3.37686609135342e-14,"CG13360"
"FBtr0075088",56.7213337560475,1.56249574329756,0.190623113509694,8.19678009937708,2.46911531618067e-16,3.6147848228885e-14,"Nufip"
"FBtr0340343",118.672042522444,1.25361877480842,0.153199196860352,8.18293307340994,2.77017031672526e-16,3.96736566230131e-14,"His3.3B"
"FBtr0078730",152.496344281218,1.73006452694343,0.211832989296994,8.16711567298822,3.15850019076327e-16,4.42727643760604e-14,"CG2182"
